,Player,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy,SR,Four_Wickets,Five_Wickets,Player_Name,Country
0,AM Kimote (TAN),33,33,102.5,3,691,48,4/21,14.39,6.71,12.8,1,0,AM Kimote,TAN
1,BJ McCarthy (IRE),37,37,133.0,2,1103,45,3/7,24.51,8.29,17.7,0,0,BJ McCarthy,IRE
2,Ehsan Khan (HKG),31,31,114.5,3,731,44,4/28,16.61,6.36,15.6,1,0,Ehsan Khan,HKG
3,B Evans (ZIM),23,23,76.4,0,583,39,4/16,14.94,7.6,11.7,1,0,B Evans,ZIM
4,N Senamontree (THA),26,26,98.5,10,486,39,4/9,12.46,4.91,15.2,2,0,N Senamontree,THA
5,Haris Rauf (PAK),29,29,103.0,0,941,37,4/22,25.43,9.13,16.7,1,0,Haris Rauf,PAK
6,M Akayezu (RWN),34,34,102.2,2,773,36,3/6,21.47,7.55,17,0,0,M Akayezu,RWN
7,Khalid Ahmadi (BEL),19,19,70.1,1,470,35,4/5,13.42,6.69,12,2,0,Khalid Ahmadi,BEL
8,Rizwan Butt (BHR),23,23,81.5,4,501,33,6/9,15.18,6.12,14.8,0,1,Rizwan Butt,BHR
9,CA Young (IRE),18,18,64.5,0,538,32,4/28,16.81,8.29,12.1,1,0,CA Young,IRE
10,AS Joseph (WI),18,18,66.1,0,592,29,5/40,20.41,8.94,13.6,1,1,AS Joseph,WI
11,LH Ferguson (NZ),18,18,63.5,4,490,28,4/12,17.5,7.67,13.6,1,0,LH Ferguson,NZ
12,CV Varun (IND),15,15,57.0,1,416,26,3/23,16,7.29,13.1,0,0,CV Varun,IND
13,NT Ellis (AUS),15,15,48.1,1,367,25,4/12,14.68,7.61,11.5,1,0,NT Ellis,AUS
14,Azmatullah Omarzai (AFG),19,19,59.1,0,499,24,4/9,20.79,8.43,14.7,1,0,Azmatullah Omarzai,AFG
15,A Bohara (NEP),10,10,35.4,1,259,24,6/11,10.79,7.26,8.9,0,1,A Bohara,NEP
16,R Shepherd (WI),13,13,40.5,0,458,24,5/20,19.08,11.21,10.2,0,1,R Shepherd,WI
17,M Theekshana (SL),24,24,92.1,0,717,24,3/30,29.87,7.77,23,0,0,M Theekshana,SL
18,LV van Beek (NED),11,11,39.4,1,243,24,4/27,10.12,6.12,9.9,1,0,LV van Beek,NED
