,Player,Matches,Innings,Not_Out,Runs,Highest_Score,Average,Balls_Faced,SR,Hundreds,Fifties,Zeros,Fours,Sixes,Player_Name,Country
0,MR Adair (IRE),56,36,6,498,72,16.6,370,134.59,0,1,3,39,23,MR Adair,IRE
1,R Shepherd (WI),33,22,8,453,52*,32.35,316,143.35,0,1,0,29,31,R Shepherd,WI
2,Rashid Khan (AFG),43,30,9,348,48*,16.57,264,131.81,0,0,1,27,21,Rashid Khan,AFG
3,Shaheen Shah Afridi (PAK),58,34,15,292,33*,15.36,229,127.51,0,0,6,16,22,Shaheen Shah Afridi,PAK
4,Faheem Ashraf (PAK),34,23,5,284,51,15.77,202,140.59,0,1,2,24,14,Faheem Ashraf,PAK
5,LM Jongwe (ZIM),35,25,7,279,35,15.5,228,122.36,0,0,2,27,7,LM Jongwe,ZIM
6,Karan KC (NEP),48,28,12,250,33*,15.62,166,150.6,0,0,2,13,19,Karan KC,NEP
7,Shakeel Ahmed (OMA),46,25,7,243,45,13.5,253,96.04,0,0,3,16,9,Shakeel Ahmed,OMA
8,Z Bimenyimana (RWN),80,51,16,233,25*,6.65,197,118.27,0,0,13,13,13,Z Bimenyimana,RWN
9,BJ McCarthy (IRE),52,31,12,225,51*,11.84,193,116.58,0,1,3,14,13,BJ McCarthy,IRE
10,AM Kimote (TAN),50,31,15,222,32,13.87,216,102.77,0,0,3,24,2,AM Kimote,TAN
11,AJ Hosein (WI),76,25,11,215,44*,15.35,173,124.27,0,0,4,15,11,AJ Hosein,WI
12,Saad Bin Zafar (CAN),32,14,11,213,33*,71,150,142,0,0,0,20,8,Saad Bin Zafar,CAN
13,Rizwan Butt (BHR),68,32,11,212,34*,10.09,178,119.1,0,0,7,6,15,Rizwan Butt,BHR
14,JO Holder (WI),29,17,8,208,34*,23.11,122,170.49,0,0,4,14,14,JO Holder,WI
15,D Heyliger (CAN),30,18,11,204,28*,29.14,132,154.54,0,0,0,19,11,D Heyliger,CAN
16,Ehsan Khan (HKG),65,38,18,202,22*,10.1,195,103.58,0,0,4,12,6,Ehsan Khan,HKG
17,Khalid Ahmadi (BEL),28,18,6,191,25*,15.91,120,159.16,0,0,2,7,18,Khalid Ahmadi,BEL
18,IO Okpe (NGA),25,19,4,191,35*,12.73,196,97.44,0,0,3,10,5,IO Okpe,NGA
19,Zain Ul Abidin (KSA),29,18,6,190,58,15.83,152,125,0,1,3,10,12,Zain Ul Abidin,KSA
20,LN Oluoch (KENYA),31,24,10,189,29,13.5,171,110.52,0,0,2,11,8,LN Oluoch,KENYA
