,Player,Matches,Innings,Not_Out,Runs,Highest_Score,Average,Balls_Faced,SR,Hundreds,Fifties,Zeros,Fours,Sixes,Player_Name,Country
0,Sikandar Raza (ZIM),83,80,10,2242,133*,32.02,1561,143.62,1,12,6,170,112,Sikandar Raza,ZIM
1,SA Yadav (IND),68,66,11,2205,117,40.09,1336,165.04,3,17,2,192,122,SA Yadav,IND
2,R Powell (WI),82,77,12,1882,107,28.95,1274,147.72,1,8,0,106,134,R Powell,WI
3,HH Pandya (IND),83,72,19,1717,71*,32.39,1177,145.87,0,9,2,133,93,HH Pandya,IND
4,GD Phillips (NZ),59,53,8,1613,104,35.84,1121,143.88,1,10,1,126,70,GD Phillips,NZ
5,DS Airee (NEP),57,54,12,1464,110*,34.85,1027,142.55,1,10,1,100,64,DS Airee,NEP
6,DJ Mitchell (NZ),70,62,14,1423,72*,29.64,984,144.61,0,7,1,94,56,DJ Mitchell,NZ
7,Haider Butt (BHR),56,54,13,1384,79*,33.75,1134,122.04,0,8,1,88,62,Haider Butt,BHR
8,Sohail Ahmed (BHR),55,53,18,1382,80*,39.48,1104,125.18,0,11,4,89,64,Sohail Ahmed,BHR
9,Ahmer Bin (BHR),79,66,20,1337,68*,29.06,1044,128.06,0,6,1,103,45,Ahmer Bin,BHR
10,RP Burl (ZIM),79,75,21,1295,67*,23.98,1026,126.21,0,3,5,99,51,RP Burl,ZIM
11,Muhammad Tanveer (QAT),41,38,8,1247,88*,41.56,929,134.23,0,9,2,85,73,Muhammad Tanveer,QAT
12,HC Brook (ENG),58,52,12,1170,81*,29.25,766,152.74,0,6,1,93,54,HC Brook,ENG
13,MS Chapman (NZ),60,48,10,1152,104*,30.31,780,147.69,1,6,3,100,50,MS Chapman,NZ
14,Towhid Hridoy (BAN),53,48,8,1151,83*,28.77,921,124.97,0,5,3,75,43,Towhid Hridoy,BAN
15,MD Shanaka (SL),66,58,13,1132,76*,25.15,769,147.2,0,6,9,74,71,MD Shanaka,SL
16,Riazat Ali Shah (UGA),50,46,14,1115,98*,34.84,936,119.12,0,3,3,86,43,Riazat Ali Shah,UGA
17,RR Patel (KENYA),48,43,9,1055,120,31.02,772,136.65,1,5,2,86,53,RR Patel,KENYA
18,Luqman Butt (CAM),36,33,5,1051,80*,37.53,715,146.99,0,6,1,94,59,Luqman Butt,CAM
19,TH David (AUS),55,46,12,1044,102*,30.7,600,174,1,5,5,77,75,TH David,AUS
20,DA Miller (SA),44,40,13,1018,106*,37.7,713,142.77,1,5,3,65,62,DA Miller,SA
21,VP Thamotharam (MLT),44,43,5,997,63,26.23,678,147.05,0,8,2,62,69,VP Thamotharam,MLT
22,Usman Patel (KUW),52,51,12,982,111*,25.17,751,130.75,1,5,5,87,39,Usman Patel,KUW
23,KIC Asalanka (SL),54,52,7,976,69,21.68,763,127.91,0,4,5,60,49,KIC Asalanka,SL
24,Virandeep Singh (MAS),36,32,10,969,84*,44.04,726,133.47,0,8,2,68,47,Virandeep Singh,MAS
25,MP Stoinis (AUS),49,43,13,960,67*,32,629,152.62,0,5,0,75,50,MP Stoinis,AUS
26,C Campher (IRE),59,51,7,958,72*,21.77,764,125.39,0,4,5,77,29,C Campher,IRE
27,T Stubbs (SA),49,41,11,942,76,31.4,707,133.23,0,2,3,73,36,T Stubbs,SA
28,HT Tector (IRE),51,48,8,932,64*,23.3,803,116.06,0,4,4,75,22,HT Tector,IRE
29,MG Erasmus (NAM),36,34,9,931,100*,37.24,721,129.12,1,6,2,73,33,MG Erasmus,NAM
30,Aqib Iqbal (AUT),54,48,11,927,66*,25.05,751,123.43,0,4,4,75,33,Aqib Iqbal,AUT
31,MWR Stokes (GUE),34,33,14,926,73,48.73,711,130.23,0,6,1,80,21,MWR Stokes,GUE
32,GH Dockrell (IRE),64,58,19,925,58*,23.71,663,139.51,0,2,4,74,40,GH Dockrell,IRE
33,Mohammad Nabi (AFG),64,60,16,925,60,21.02,732,126.36,0,3,5,66,39,Mohammad Nabi,AFG
34,S Ravichandran (JPN),43,42,4,923,86*,24.28,745,123.89,0,5,2,86,21,S Ravichandran,JPN
35,Asif Khan (UAE),42,42,9,920,77,27.87,683,134.69,0,4,4,61,56,Asif Khan,UAE
36,GJ Maxwell (AUS),42,38,6,907,120*,28.34,618,146.76,2,3,2,80,42,GJ Maxwell,AUS
37,Manpreet Singh (SGP),40,38,1,903,71,24.4,673,134.17,0,5,5,47,44,Manpreet Singh,SGP
38,Babar Hayat (HKG),40,38,6,888,110,27.75,690,128.69,1,4,3,50,58,Babar Hayat,HKG
39,I Danladi (NGA),41,39,5,884,80,26,774,114.21,0,3,0,78,23,I Danladi,NGA
40,RK Paudel (NEP),33,32,8,871,61,36.29,705,123.54,0,5,0,65,30,RK Paudel,NEP
41,PR Surve (INA),33,33,11,844,71*,38.36,744,113.44,0,4,1,63,26,PR Surve,INA
42,S Dube (IND),44,34,12,831,66,37.77,533,155.9,0,5,2,52,54,S Dube,IND
43,Shaheryar Butt (BEL),38,36,7,811,91,27.96,626,129.55,0,2,1,63,46,Shaheryar Butt,BEL
44,AR Ramjani (UGA),52,42,10,807,78,25.21,611,132.07,0,5,3,61,30,AR Ramjani,UGA
45,AV Lazarus (THA),35,34,6,792,95,28.28,687,115.28,0,5,1,63,29,AV Lazarus,THA
46,SE Rutherford (WI),47,42,10,791,76*,24.71,524,150.95,0,5,7,61,49,SE Rutherford,WI
47,SA Edwards (NED),44,44,9,781,99,22.31,629,124.16,0,2,1,58,21,SA Edwards,NED
48,Syed Aziz (MAS),35,34,6,779,64,27.82,537,145.06,0,7,2,69,36,Syed Aziz,MAS
49,DM Nakrani (UGA),54,46,15,772,77*,24.9,636,121.38,0,2,2,44,44,DM Nakrani,UGA
50,H Thaker (CAN),46,39,9,772,53*,25.73,636,121.38,0,2,0,45,33,H Thaker,CAN
51,C Rubagumya (RWN),73,64,12,766,40,14.73,891,85.97,0,0,8,50,10,C Rubagumya,RWN
52,JJ Smit (NAM),42,36,12,763,111*,31.79,516,147.86,1,3,2,46,49,JJ Smit,NAM
53,V Saini (ROM),30,29,6,758,64,32.95,599,126.54,0,4,2,72,16,V Saini,ROM
54,RD Berrington (SCOT),32,30,4,757,60,29.11,538,140.7,0,3,1,54,34,RD Berrington,SCOT
55,Mohammad Nawaz (3) (PAK),56,49,10,749,45*,19.2,552,135.68,0,0,5,58,39,Mohammad Nawaz,3
56,MNM Aslam (KUW),50,39,5,747,55,21.97,626,119.32,0,3,2,67,19,MNM Aslam,KUW
57,Jaker Ali (BAN),47,42,13,747,72*,25.75,608,122.86,0,3,1,40,41,Jaker Ali,BAN
58,R Chopra (UAE),37,34,7,740,80,27.4,632,117.08,0,5,2,53,29,R Chopra,UAE
