,Player,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy,SR,Four_Wickets,Five_Wickets,Player_Name,Country
0,Arshdeep Singh (IND),77,77,276.1,2,2398,119,5/51,20.15,8.68,13.9,2,1,Arshdeep Singh,IND
1,Ali Dawood (BHR),75,75,266.4,8,1656,116,7/19,14.27,6.21,13.7,6,1,Ali Dawood,BHR
2,Junaid Siddique (UAE),69,69,262.4,2,2029,95,5/35,21.35,7.72,16.5,4,1,Junaid Siddique,UAE
3,MR Adair (IRE),69,69,246.0,1,2014,91,4/13,22.13,8.18,16.2,2,0,MR Adair,IRE
4,Shaheen Shah Afridi (PAK),64,64,227.1,1,1782,91,4/22,19.58,7.84,14.9,3,0,Shaheen Shah Afridi,PAK
5,R Ngarava (ZIM),68,68,247.2,8,1800,90,4/16,20,7.27,16.4,2,0,R Ngarava,ZIM
6,Z Bimenyimana (RWN),84,84,255.0,7,1809,86,3/7,21.03,7.09,17.7,0,0,Z Bimenyimana,RWN
7,Rizwan Butt (BHR),53,53,191.5,4,1307,84,5/12,15.55,6.81,13.7,2,3,Rizwan Butt,BHR
8,Pavandeep Singh (MAS),60,60,226.4,7,1283,71,4/16,18.07,5.66,19.1,1,0,Pavandeep Singh,MAS
9,Fazalhaq Farooqi (AFG),53,53,185.3,4,1304,65,5/9,20.06,7.02,17.1,1,1,Fazalhaq Farooqi,AFG
10,Kaleem Sana (CAN),44,44,152.5,9,946,65,4/17,14.55,6.18,14.1,5,0,Kaleem Sana,CAN
11,Karan KC (NEP),52,52,165.2,4,1299,60,5/21,21.65,7.85,16.5,1,1,Karan KC,NEP
12,B Muzarabani (ZIM),47,47,168.1,8,1206,59,4/17,20.44,7.17,17.1,1,0,B Muzarabani,ZIM
13,Taskin Ahmed (BAN),41,41,157.0,2,1225,59,4/25,20.76,7.8,15.9,1,0,Taskin Ahmed,BAN
14,AJ Hosein (WI),55,55,205.0,3,1478,58,5/11,25.48,7.2,21.2,1,1,AJ Hosein,WI
15,Aqib Iqbal (AUT),51,51,181.1,7,1204,57,3/10,21.12,6.64,19,0,0,Aqib Iqbal,AUT
16,JA Duffy (NZ),40,40,136.2,1,1089,57,4/14,19.1,7.98,14.3,4,0,JA Duffy,NZ
