,Player,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy,SR,Four_Wickets,Five_Wickets,Player_Name,Country
0,Rishad Hossain (BAN),49,49,169.2,1,1398,68,3/18,20.55,8.25,14.9,0,0,Rishad Hossain,BAN
1,H Ssenyondo (UGA),43,43,146.4,6,807,68,5/8,11.86,5.5,12.9,3,1,H Ssenyondo,UGA
2,Sikandar Raza (ZIM),55,55,184.1,5,1179,65,5/18,18.13,6.4,17,1,1,Sikandar Raza,ZIM
3,IS Sodhi (NZ),52,52,177.3,0,1435,56,4/28,25.62,8.08,19,1,0,IS Sodhi,NZ
4,A Zampa (AUS),40,40,154.2,0,1218,54,4/21,22.55,7.89,17.1,3,0,A Zampa,AUS
5,PW Hasaranga (SL),32,32,124.2,1,924,52,4/15,17.76,7.43,14.3,1,0,PW Hasaranga,SL
6,E Rukiriza (RWN),39,39,122.0,1,840,49,5/11,17.14,6.88,14.9,2,2,E Rukiriza,RWN
7,R Abdulkareem (NGA),37,37,102.4,5,624,48,6/22,13,6.07,12.8,1,1,R Abdulkareem,NGA
8,S Lamichhane (NEP),25,25,95.5,1,549,47,5/18,11.68,5.72,12.2,0,1,S Lamichhane,NEP
9,AU Rashid (ENG),44,44,164.0,0,1324,47,3/19,28.17,8.07,20.9,0,0,AU Rashid,ENG
10,Virandeep Singh (MAS),42,42,121.5,5,722,44,4/8,16.4,5.92,16.6,2,0,Virandeep Singh,MAS
11,IKEG Artawan (INA),47,47,118.5,0,861,41,4/12,21,7.24,17.3,1,0,IKEG Artawan,INA
12,Shadab Khan (PAK),40,40,124.4,0,1025,40,4/8,25.62,8.22,18.7,1,0,Shadab Khan,PAK
13,Kuldeep Yadav (IND),19,19,67.0,1,446,39,5/17,11.43,6.65,10.3,2,1,Kuldeep Yadav,IND
14,Rashid Khan (AFG),23,23,89.0,0,492,35,4/14,14.05,5.52,15.2,2,0,Rashid Khan,AFG
15,Aqib Ilyas (OMA),22,22,79.0,1,453,34,4/10,13.32,5.73,13.9,2,0,Aqib Ilyas,OMA
16,K Irakoze (RWN),34,34,91.3,1,623,34,3/5,18.32,6.8,16.1,0,0,K Irakoze,RWN
17,K Nassoro (TAN),44,44,115.2,2,762,34,4/14,22.41,6.6,20.3,1,0,K Nassoro,TAN
18,Yasim Murtaza (HKG),34,34,115.0,0,702,34,4/9,20.64,6.1,20.2,1,0,Yasim Murtaza,HKG
19,RP Burl (ZIM),45,45,104.2,0,772,33,3/13,23.39,7.39,18.9,0,0,RP Burl,ZIM
20,M Taniyama (JPN),30,30,68.4,5,366,32,4/19,11.43,5.33,12.8,1,0,M Taniyama,JPN
21,Saad Bin Zafar (CAN),26,26,90.0,2,526,31,3/10,16.96,5.84,17.4,0,0,Saad Bin Zafar,CAN
22,Taranjeet Singh (ROM),18,18,56.2,0,351,31,4/17,11.32,6.23,10.9,2,0,Taranjeet Singh,ROM
23,MG Erasmus (NAM),27,27,74.2,0,455,30,4/20,15.16,6.12,14.8,1,0,MG Erasmus,NAM
24,Mohammad Nawaz (3) (PAK),26,26,74.2,0,557,30,3/5,18.56,7.49,14.8,0,0,Mohammad Nawaz,3
25,G Motie (WI),32,32,104.0,0,824,30,3/22,27.46,7.92,20.8,0,0,G Motie,WI
26,RL Chase (WI),28,28,77.2,0,585,29,3/12,20.17,7.56,16,0,0,RL Chase,WI
27,RR Patel (KENYA),25,25,69.5,3,395,29,3/12,13.62,5.65,14.4,0,0,RR Patel,KENYA
28,S Ravichandran (JPN),24,24,70.0,3,373,29,4/16,12.86,5.32,14.4,1,0,S Ravichandran,JPN
29,IK Gamantika (INA),32,32,83.0,1,482,28,4/24,17.21,5.8,17.7,1,0,IK Gamantika,INA
30,Karanbir Singh (AUT),24,24,49.2,0,382,28,4/42,13.64,7.74,10.5,1,0,Karanbir Singh,AUT
31,Muhammad Amir (MAS),25,25,70.5,2,451,28,5/16,16.1,6.36,15.1,0,1,Muhammad Amir,MAS
32,Vraj Patel (KENYA),21,21,80.0,2,453,28,3/12,16.17,5.66,17.1,0,0,Vraj Patel,KENYA
33,Joshua Asia (NGA),21,21,67.0,3,313,27,4/11,11.59,4.67,14.8,2,0,Joshua Asia,NGA
34,DS Airee (NEP),32,32,85.1,1,545,26,4/21,20.96,6.39,19.6,1,0,DS Airee,NEP
35,CJA Amini (PNG),23,23,63.2,0,397,26,4/18,15.26,6.26,14.6,1,0,CJA Amini,PNG
36,LM Jongwe (ZIM),26,26,72.0,0,615,26,3/20,23.65,8.54,16.6,0,0,LM Jongwe,ZIM
37,H Rathod (QAT),18,18,57.0,0,364,26,3/20,14,6.38,13.1,0,0,H Rathod,QAT
38,Ravi Bishnoi (IND),19,19,72.4,1,513,26,4/16,19.73,7.05,16.7,1,0,Ravi Bishnoi,IND
39,T Shamsi (SA),20,20,67.5,0,601,26,4/19,23.11,8.85,15.6,1,0,T Shamsi,SA
40,K Bhurtel (NEP),28,28,64.2,1,453,25,4/19,18.12,7.04,15.4,1,0,K Bhurtel,NEP
41,GJ Delany (IRE),35,35,85.2,0,624,25,3/16,24.96,7.31,20.4,0,0,GJ Delany,IRE
42,Nasrulla Rana (HKG),23,23,58.4,3,459,25,6/12,18.36,7.82,14,1,1,Nasrulla Rana,HKG
