,Player,Matches,Innings,Not_Out,Runs,Highest_Score,Average,Balls_Faced,SR,Hundreds,Fifties,Zeros,Fours,Sixes,Player_Name,Country
0,Muhammad Waseem (UAE),93,93,5,3191,112,36.26,2113,151.01,2,26,5,262,187,Muhammad Waseem,UAE
1,SA Yadav (IND),101,97,15,3028,117,36.92,1850,163.67,4,22,5,272,167,SA Yadav,IND
2,Sikandar Raza (ZIM),91,88,11,2565,133*,33.31,1766,145.24,1,16,7,192,137,Sikandar Raza,ZIM
3,Virandeep Singh (MAS),87,80,19,2496,116*,40.91,1890,132.06,1,20,6,209,107,Virandeep Singh,MAS
4,P Nissanka (SL),79,79,5,2346,107,31.7,1800,130.33,2,16,7,243,69,P Nissanka,SL
5,Syed Aziz (MAS),91,86,14,2135,126,29.65,1485,143.77,1,14,6,181,119,Syed Aziz,MAS
6,BKG Mendis (SL),77,77,6,2084,86,29.35,1599,130.33,0,15,5,192,74,BKG Mendis,SL
7,Babar Azam (PAK),72,68,8,1976,110*,32.93,1561,126.58,2,14,7,205,40,Babar Azam,PAK
8,Sohail Ahmed (BHR),77,72,28,1901,80*,43.2,1595,119.18,0,15,6,123,80,Sohail Ahmed,BHR
9,JC Buttler (ENG),67,63,5,1897,96,32.7,1216,156,0,13,6,189,85,JC Buttler,ENG
10,BJ Bennett (ZIM),58,58,6,1888,111,36.3,1314,143.68,1,12,3,215,58,BJ Bennett,ZIM
11,R Powell (WI),84,78,12,1884,107,28.54,1277,147.53,1,8,0,106,134,R Powell,WI
12,Ibrahim Zadran (AFG),62,62,9,1851,95*,34.92,1598,115.83,0,16,1,172,44,Ibrahim Zadran,AFG
13,Litton Das (BAN),74,73,4,1811,83,26.24,1410,128.43,0,12,2,178,54,Litton Das,BAN
14,Babar Hayat (HKG),79,75,9,1798,110,27.24,1385,129.81,1,10,6,94,124,Babar Hayat,HKG
15,A Sharafu (UAE),63,61,8,1782,90*,33.62,1345,132.49,0,14,1,172,74,A Sharafu,UAE
16,Mohammad Rizwan (PAK),51,49,9,1775,98*,44.37,1452,122.24,0,17,2,135,48,Mohammad Rizwan,PAK
17,K Kadowaki-Fleming (JPN),49,49,4,1760,114,39.11,1239,142.05,2,12,1,134,89,K Kadowaki-Fleming,JPN
18,Rahmanullah Gurbaz (AFG),69,69,0,1749,100,25.34,1301,134.43,1,10,8,141,87,Rahmanullah Gurbaz,AFG
19,Karanbir Singh (AUT),41,40,4,1721,115,47.8,1017,169.22,2,16,3,147,136,Karanbir Singh,AUT
20,S Ssesazi (UGA),72,70,8,1721,100*,27.75,1358,126.73,1,13,8,185,58,S Ssesazi,UGA
21,HH Pandya (IND),83,72,19,1717,71*,32.39,1177,145.87,0,9,2,133,93,HH Pandya,IND
22,PD Salt (ENG),60,56,6,1717,141*,34.34,1035,165.89,4,8,6,170,83,PD Salt,ENG
23,BA King (WI),70,69,5,1709,85*,26.7,1300,131.46,0,13,5,178,78,BA King,WI
24,Anshuman Rath (HKG),56,56,5,1689,100*,33.11,1316,128.34,1,10,2,175,34,Anshuman Rath,HKG
25,Sami Sohail (MWI),53,51,12,1676,96*,42.97,1321,126.87,0,11,3,141,58,Sami Sohail,MWI
26,Nizakat Khan (HKG),80,79,9,1674,81,23.91,1415,118.3,0,10,4,126,56,Nizakat Khan,HKG
27,Meet Bhavsar (KUW),63,63,5,1670,89,28.79,1283,130.16,0,13,4,144,59,Meet Bhavsar,KUW
28,DS Airee (NEP),68,60,14,1648,110*,35.82,1147,143.67,1,11,1,115,74,DS Airee,NEP
29,RK Paudel (NEP),69,66,11,1640,61,29.81,1352,121.3,0,8,1,127,52,RK Paudel,NEP
30,GD Phillips (NZ),61,54,8,1636,104,35.56,1137,143.88,1,10,1,127,71,GD Phillips,NZ
31,K Bhurtel (NEP),69,67,5,1607,104*,25.91,1286,124.96,1,9,5,153,64,K Bhurtel,NEP
32,Aasif Sheikh (NEP),67,66,2,1556,69,24.31,1315,118.32,0,9,2,145,56,Aasif Sheikh,NEP
33,Abdul Waheed (KSA),53,50,5,1510,110,33.55,1139,132.57,1,8,1,148,50,Abdul Waheed,KSA
34,D Ndikubwimana (RWN),93,87,7,1506,82*,18.82,1765,85.32,0,8,6,143,24,D Ndikubwimana,RWN
35,FH Allen (NZ),55,54,3,1498,137,29.37,885,169.26,3,6,4,126,107,FH Allen,NZ
36,Fiaz Ahmed (BHR),60,57,13,1495,105*,33.97,1226,121.94,1,7,5,98,77,Fiaz Ahmed,BHR
37,P Kurup (BHR),64,63,5,1486,74,25.62,1355,109.66,0,7,2,158,36,P Kurup,BHR
38,TL Seifert (NZ),49,46,6,1474,97*,36.85,951,154.99,0,11,3,148,68,TL Seifert,NZ
39,Ahmed Faiz (MAS),82,67,8,1472,105*,24.94,1176,125.17,1,7,5,105,62,Ahmed Faiz,MAS
40,DJ Mitchell (NZ),78,66,15,1470,72*,28.82,1035,142.02,0,7,1,97,57,DJ Mitchell,NZ
41,Ahmer Bin (BHR),94,73,21,1458,68*,28.03,1146,127.22,0,7,1,115,50,Ahmer Bin,BHR
42,RR Hendricks (SA),50,49,1,1455,117,30.31,1075,135.34,1,11,5,148,53,RR Hendricks,SA
43,MS Chapman (NZ),79,63,11,1452,104*,27.92,995,145.92,1,8,5,123,66,MS Chapman,NZ
44,R Sandaruwan (KUW),61,61,1,1439,102*,23.98,1027,140.11,1,8,5,119,85,R Sandaruwan,KUW
45,N Pooran (WI),57,55,4,1430,98,28.03,1008,141.86,0,9,1,92,98,N Pooran,WI
46,LJ Tucker (IRE),69,66,7,1423,94*,24.11,1133,125.59,0,9,7,132,38,LJ Tucker,IRE
47,HT Tector (IRE),70,65,11,1421,96*,26.31,1176,120.83,0,7,5,122,32,HT Tector,IRE
48,Faisal Khan (KSA),50,50,4,1406,101,30.56,820,171.46,1,9,6,142,86,Faisal Khan,KSA
49,Haider Butt (BHR),59,56,13,1402,79*,32.6,1148,122.12,0,8,2,92,62,Haider Butt,BHR
50,SD Hope (WI),52,52,9,1402,102*,32.6,1010,138.81,1,9,3,102,80,SD Hope,WI
51,RP Burl (ZIM),84,79,22,1391,67*,24.4,1087,127.96,0,3,5,107,55,RP Burl,ZIM
52,Abhishek Sharma (IND),45,44,2,1386,135,33,734,188.82,2,9,6,133,93,Abhishek Sharma,IND
53,Zeeshan Ali (HKG),68,59,12,1384,101,29.44,1003,137.98,1,7,2,149,49,Zeeshan Ali,HKG
54,NT Tilak Varma (IND),48,45,14,1382,120*,44.58,949,145.62,2,6,4,109,72,NT Tilak Varma,IND
55,AK Markram (SA),57,55,8,1378,86*,29.31,932,147.85,0,8,1,138,55,AK Markram,SA
56,MR Marsh (AUS),49,45,7,1335,103*,35.13,859,155.41,1,7,2,124,78,MR Marsh,AUS
57,Asif Ali (BHR),55,53,4,1329,100*,27.12,975,136.3,1,8,6,113,82,Asif Ali,BHR
58,SI Runsewe (NGA),66,66,8,1314,80,22.65,1174,111.92,0,8,2,146,17,SI Runsewe,NGA
59,HC Brook (ENG),63,55,12,1303,100,30.3,847,153.83,1,6,1,107,59,HC Brook,ENG
60,Asif Khan (UAE),56,56,10,1302,79,28.3,944,137.92,0,6,4,81,84,Asif Khan,UAE
61,Muhammad Tanveer (QAT),46,40,10,1299,88*,43.3,958,135.59,0,9,2,87,78,Muhammad Tanveer,QAT
62,Saim Ayub (PAK),67,64,3,1298,98*,21.27,955,135.91,0,6,10,136,59,Saim Ayub,PAK
63,PR Stirling (IRE),69,67,4,1289,77,20.46,990,130.2,0,5,5,147,52,PR Stirling,IRE
64,Q de Kock (SA),49,48,2,1268,115,27.56,823,154.07,2,8,7,124,68,Q de Kock,SA
65,Sahibzada Farhan (PAK),43,42,2,1265,100*,31.62,909,139.16,2,10,3,107,66,Sahibzada Farhan,PAK
66,RR Patel (KENYA),57,50,10,1258,120,31.45,912,137.93,1,7,3,108,62,RR Patel,KENYA
67,Fakhar Zaman (PAK),56,52,3,1241,84,25.32,931,133.29,0,7,3,106,56,Fakhar Zaman,PAK
68,Luqman Butt (CAM),45,41,6,1239,80*,35.4,838,147.85,0,6,1,105,71,Luqman Butt,CAM
69,Zubaidi Zulkifle (MAS),65,64,3,1230,96,20.16,853,144.19,0,4,11,127,58,Zubaidi Zulkifle,MAS
70,O Manishimwe (RWN),89,80,8,1228,89*,17.05,1314,93.45,0,6,10,121,26,O Manishimwe,RWN
71,Bilal Zalmai (AUT),42,41,5,1226,79*,34.05,773,158.6,0,11,2,126,70,Bilal Zalmai,AUT
72,GA Priandana (INA),69,66,10,1217,78*,21.73,1143,106.47,0,6,7,118,41,GA Priandana,INA
73,MG Erasmus (NAM),51,49,10,1209,100*,31,999,121.02,1,7,2,94,40,MG Erasmus,NAM
74,AR Patwa (TAN),47,47,5,1208,79,28.76,988,122.26,0,6,2,150,34,AR Patwa,TAN
75,MD Shanaka (SL),74,65,14,1205,76*,23.62,831,145,0,6,9,81,73,MD Shanaka,SL
76,A Balbirnie (IRE),51,51,1,1199,77,23.98,980,122.34,0,8,3,117,51,A Balbirnie,IRE
77,MP O'Dowd (NED),48,46,4,1193,92*,28.4,997,119.65,0,8,2,127,28,MP O'Dowd,NED
78,SV Samson (IND),51,43,5,1193,111,31.39,740,161.21,3,5,6,105,71,SV Samson,IND
79,I Danladi (NGA),56,52,6,1187,80,25.8,1024,115.91,0,5,0,105,33,I Danladi,NGA
80,I Liyanage (QAT),46,43,3,1179,86,29.47,947,124.49,0,9,4,124,34,I Liyanage,QAT
81,Towhid Hridoy (BAN),57,51,8,1177,83*,27.37,953,123.5,0,5,3,76,43,Towhid Hridoy,BAN
82,HG Munsey (SCOT),34,34,2,1166,132,36.43,832,140.14,1,7,1,118,50,HG Munsey,SCOT
