,Player,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy,SR,Four_Wickets,Five_Wickets,Player_Name,Country
0,Rizwan Butt (BHR),91,90,324.5,8,2207,137,6/9,16.1,6.79,14.2,3,4,Rizwan Butt,BHR
1,Arshdeep Singh (IND),83,82,289.2,2,2470,127,5/51,19.44,8.53,13.6,2,1,Arshdeep Singh,IND
2,Ali Dawood (BHR),75,75,266.4,8,1656,116,7/19,14.27,6.21,13.7,6,1,Ali Dawood,BHR
3,Ehsan Khan (HKG),79,77,283.1,5,1771,113,4/5,15.67,6.25,15,5,0,Ehsan Khan,HKG
4,Junaid Siddique (UAE),77,77,290.1,2,2273,108,5/35,21.04,7.83,16.1,4,1,Junaid Siddique,UAE
5,Virandeep Singh (MAS),87,80,259.1,8,1390,106,4/5,13.11,5.36,14.6,4,0,Virandeep Singh,MAS
6,H Ssenyondo (UGA),70,68,242.2,10,1266,103,5/8,12.29,5.22,14.1,6,1,H Ssenyondo,UGA
7,PW Hasaranga (SL),62,62,237.2,2,1760,102,4/15,17.25,7.41,13.9,4,0,PW Hasaranga,SL
8,AR Ramjani (UGA),65,63,223.1,10,1070,102,5/17,10.49,4.79,13.1,4,1,AR Ramjani,UGA
9,R Ngarava (ZIM),75,73,260.4,8,1887,97,4/16,19.45,7.23,16.1,2,0,R Ngarava,ZIM
10,Sikandar Raza (ZIM),91,87,297.0,5,1948,94,5/18,20.72,6.55,18.9,2,1,Sikandar Raza,ZIM
11,Haris Rauf (PAK),60,60,215.2,2,1798,92,4/18,19.54,8.34,14,4,0,Haris Rauf,PAK
12,MR Adair (IRE),69,69,246.0,1,2014,91,4/13,22.13,8.18,16.2,2,0,MR Adair,IRE
13,Shaheen Shah Afridi (PAK),64,64,227.1,1,1782,91,4/22,19.58,7.84,14.9,3,0,Shaheen Shah Afridi,PAK
14,Rashid Khan (AFG),59,59,227.0,1,1338,90,4/14,14.86,5.89,15.1,5,0,Rashid Khan,AFG
15,AU Rashid (ENG),77,73,272.4,3,2064,89,4/11,23.19,7.56,18.3,2,0,AU Rashid,ENG
16,Z Bimenyimana (RWN),91,89,263.2,7,1877,87,3/7,21.57,7.12,18.1,0,0,Z Bimenyimana,RWN
17,AJ Hosein (WI),83,82,293.2,3,2191,86,5/11,25.47,7.46,20.4,2,1,AJ Hosein,WI
18,M Akayezu (RWN),84,78,225.4,2,1843,85,4/16,21.68,8.16,15.9,2,0,M Akayezu,RWN
19,JO Holder (WI),66,65,238.2,2,2129,85,5/27,25.04,8.93,16.8,4,1,JO Holder,WI
20,F Banunaek (INA),85,84,253.0,3,1730,84,4/17,20.59,6.83,18,1,0,F Banunaek,INA
21,Imran Anwar (BHR),92,88,254.5,4,1881,84,4/24,22.39,7.38,18.2,1,0,Imran Anwar,BHR
22,S Lamichhane (NEP),46,46,176.5,6,1032,83,5/9,12.43,5.83,12.7,1,2,S Lamichhane,NEP
23,Taskin Ahmed (BAN),53,53,198.4,2,1541,83,4/16,18.56,7.75,14.3,3,0,Taskin Ahmed,BAN
24,A Zampa (AUS),58,56,209.2,0,1659,82,4/12,20.23,7.92,15.3,5,0,A Zampa,AUS
25,B Muzarabani (ZIM),68,65,230.5,8,1610,81,4/17,19.87,6.97,17,1,0,B Muzarabani,ZIM
