,Player,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy,SR,Four_Wickets,Five_Wickets,Player_Name,Country
0,Rashid Khan (AFG),31,31,121.0,1,722,52,4/17,13.88,5.96,13.9,3,0,Rashid Khan,AFG
1,PW Hasaranga (SL),27,27,103.0,1,741,45,4/17,16.46,7.19,13.7,2,0,PW Hasaranga,SL
2,IO Okpe (NGA),32,32,92.4,2,553,41,3/12,13.48,5.96,13.5,0,0,IO Okpe,NGA
3,Virandeep Singh (MAS),20,20,73.2,3,354,40,4/5,8.85,4.82,11,2,0,Virandeep Singh,MAS
4,Haris Rauf (PAK),24,24,86.3,2,660,39,4/18,16.92,7.63,13.3,3,0,Haris Rauf,PAK
5,AU Rashid (ENG),24,24,90.4,2,607,38,4/11,15.97,6.69,14.3,2,0,AU Rashid,ENG
6,AR Ramjani (UGA),19,19,73.0,2,372,36,5/17,10.33,5.09,12.1,1,1,AR Ramjani,UGA
7,Mustafizur Rahman (BAN),31,31,116.0,1,776,35,6/10,22.17,6.68,19.8,0,1,Mustafizur Rahman,BAN
8,CV Varun (IND),15,15,56.0,0,450,35,5/17,12.85,8.03,9.6,1,2,CV Varun,IND
9,H Ssenyondo (UGA),18,18,67.4,4,335,30,4/7,11.16,4.95,13.5,3,0,H Ssenyondo,UGA
10,Abdul Majid (BHR),27,27,103.0,6,581,29,4/19,20.03,5.64,21.3,1,0,Abdul Majid,BHR
11,S Lamichhane (NEP),18,18,69.0,5,421,29,5/9,14.51,6.1,14.2,1,1,S Lamichhane,NEP
12,D Maisuria (BOT),11,11,37.0,2,221,29,5/18,7.62,5.97,7.6,2,2,D Maisuria,BOT
13,Abbas Afridi (PAK),16,16,50.1,1,414,28,3/17,14.78,8.25,10.7,0,0,Abbas Afridi,PAK
14,AR Patel (IND),21,21,71.3,1,507,27,3/16,18.77,7.09,15.8,0,0,AR Patel,IND
15,Bilal Zalmai (AUT),18,18,71.2,0,495,26,4/14,19.03,6.93,16.4,1,0,Bilal Zalmai,AUT
16,YM Nkanya (TAN),16,16,56.0,1,318,26,4/10,12.23,5.67,12.9,2,0,YM Nkanya,TAN
17,MJ Santner (NZ),22,22,82.0,1,576,26,4/16,22.15,7.02,18.9,1,0,MJ Santner,NZ
18,Ehsan Khan (HKG),17,17,61.0,1,389,25,4/5,15.56,6.37,14.6,1,0,Ehsan Khan,HKG
19,Yasim Murtaza (HKG),18,18,68.2,3,397,25,3/14,15.88,5.8,16.4,0,0,Yasim Murtaza,HKG
20,A Zampa (AUS),13,13,45.0,0,345,25,4/12,13.8,7.66,10.8,2,0,A Zampa,AUS
21,Ali Naseer (UAE),14,14,47.1,1,345,24,4/24,14.37,7.31,11.7,3,0,Ali Naseer,UAE
22,Sikandar Raza (ZIM),19,19,70.5,0,425,23,4/24,18.47,6,18.4,1,0,Sikandar Raza,ZIM
23,S Ravichandran (JPN),14,14,47.0,2,212,22,5/22,9.63,4.51,12.8,0,1,S Ravichandran,JPN
24,SM Curran (ENG),18,18,58.4,1,515,21,5/10,24.52,8.77,16.7,0,1,SM Curran,ENG
25,Mohammad Nawaz (3) (PAK),18,18,60.0,1,425,21,5/19,20.23,7.08,17.1,0,1,Mohammad Nawaz,3
26,Muhammad Nadir (RWN),17,17,66.0,2,383,21,3/16,18.23,5.8,18.8,0,0,Muhammad Nadir,RWN
27,Ravi Bishnoi (IND),13,13,49.0,0,409,21,3/24,19.47,8.34,14,0,0,Ravi Bishnoi,IND
28,LA Burns (ESP),12,12,45.0,1,265,20,3/8,13.25,5.88,13.5,0,0,LA Burns,ESP
29,AS Joseph (WI),13,13,47.5,0,467,20,4/19,23.35,9.76,14.3,1,0,AS Joseph,WI
30,E Sebareme (RWN),16,16,49.5,1,279,20,3/12,13.95,5.59,14.9,0,0,E Sebareme,RWN
31,N Senamontree (THA),13,13,48.0,2,233,20,4/19,11.65,4.85,14.4,1,0,N Senamontree,THA
32,Vraj Patel (KENYA),15,15,57.0,1,294,20,3/12,14.7,5.15,17.1,0,0,Vraj Patel,KENYA
33,MNM Aslam (KUW),22,22,79.0,4,477,19,3/15,25.1,6.03,24.9,0,0,MNM Aslam,KUW
34,SO Ngoche (KENYA),22,22,75.0,4,426,19,2/5,22.42,5.68,23.6,0,0,SO Ngoche,KENYA
35,Zain Ul Abidin (KSA),15,15,52.2,2,301,19,5/6,15.84,5.75,16.5,0,1,Zain Ul Abidin,KSA
36,BFW de Leede (NED),11,11,31.5,0,214,18,3/17,11.88,6.72,10.6,0,0,BFW de Leede,NED
