,Player,Matches,Innings,Not_Out,Runs,Highest_Score,Average,Balls_Faced,SR,Hundreds,Fifties,Zeros,Fours,Sixes,Player_Name,Country
0,Muhammad Waseem (UAE),92,92,5,3190,112,36.66,2109,151.25,2,26,5,262,187,Muhammad Waseem,UAE
1,P Nissanka (SL),79,79,5,2346,107,31.7,1800,130.33,2,16,7,243,69,P Nissanka,SL
2,BKG Mendis (SL),73,73,6,2037,86,30.4,1539,132.35,0,15,5,189,73,BKG Mendis,SL
3,JC Buttler (ENG),60,60,4,1840,96,32.85,1181,155.8,0,13,6,186,81,JC Buttler,ENG
4,BJ Bennett (ZIM),54,54,4,1833,111,36.66,1272,144.1,1,12,2,212,55,BJ Bennett,ZIM
5,Babar Azam (PAK),61,61,7,1809,110*,33.5,1419,127.48,2,13,7,194,37,Babar Azam,PAK
6,Ibrahim Zadran (AFG),59,59,8,1781,95*,34.92,1540,115.64,0,16,1,167,41,Ibrahim Zadran,AFG
7,Mohammad Rizwan (PAK),49,49,9,1775,98*,44.37,1452,122.24,0,17,2,135,48,Mohammad Rizwan,PAK
8,Litton Das (BAN),72,71,4,1760,83,26.26,1371,128.37,0,12,2,168,54,Litton Das,BAN
9,Rahmanullah Gurbaz (AFG),69,69,0,1749,100,25.34,1301,134.43,1,10,8,141,87,Rahmanullah Gurbaz,AFG
10,S Ssesazi (UGA),70,70,8,1721,100*,27.75,1358,126.73,1,13,8,185,58,S Ssesazi,UGA
11,Karanbir Singh (AUT),37,37,3,1713,115,50.38,1010,169.6,2,16,2,147,136,Karanbir Singh,AUT
12,K Kadowaki-Fleming (JPN),48,48,4,1695,114,38.52,1185,143.03,2,11,1,132,85,K Kadowaki-Fleming,JPN
13,PD Salt (ENG),53,52,6,1649,141*,35.84,998,165.23,4,7,5,166,78,PD Salt,ENG
14,BA King (WI),68,68,4,1647,85*,25.73,1252,131.54,0,12,5,172,77,BA King,WI
15,Anshuman Rath (HKG),50,50,4,1612,100*,35.04,1261,127.83,1,10,2,170,33,Anshuman Rath,HKG
16,Sami Sohail (MWI),49,49,12,1595,96*,43.1,1256,126.99,0,11,3,136,57,Sami Sohail,MWI
17,Aasif Sheikh (NEP),66,66,2,1556,69,24.31,1315,118.32,0,9,2,145,56,Aasif Sheikh,NEP
18,K Bhurtel (NEP),63,63,5,1556,104*,26.82,1241,125.38,1,9,5,151,62,K Bhurtel,NEP
19,A Sharafu (UAE),45,45,6,1529,90*,39.2,1120,136.51,0,14,1,145,69,A Sharafu,UAE
20,Virandeep Singh (MAS),48,48,9,1527,116*,39.15,1164,131.18,1,12,4,141,60,Virandeep Singh,MAS
21,Abdul Waheed (KSA),49,49,5,1500,110,34.09,1123,133.57,1,8,1,148,50,Abdul Waheed,KSA
22,FH Allen (NZ),54,54,3,1498,137,29.37,885,169.26,3,6,4,126,107,FH Allen,NZ
23,Meet Bhavsar (KUW),56,56,4,1484,89,28.53,1138,130.4,0,12,3,131,49,Meet Bhavsar,KUW
24,P Kurup (BHR),62,62,4,1482,74,25.55,1341,110.51,0,7,2,158,36,P Kurup,BHR
25,TL Seifert (NZ),46,46,6,1474,97*,36.85,951,154.99,0,11,3,148,68,TL Seifert,NZ
26,RR Hendricks (SA),49,49,1,1455,117,30.31,1075,135.34,1,11,5,148,53,RR Hendricks,SA
27,R Sandaruwan (KUW),61,61,1,1439,102*,23.98,1027,140.11,1,8,5,119,85,R Sandaruwan,KUW
28,Nizakat Khan (HKG),67,66,7,1429,81,24.22,1207,118.39,0,8,3,107,47,Nizakat Khan,HKG
29,Faisal Khan (KSA),49,49,4,1405,101,31.22,818,171.76,1,9,6,142,86,Faisal Khan,KSA
30,Abhishek Sharma (IND),45,44,2,1386,135,33,734,188.82,2,9,6,133,93,Abhishek Sharma,IND
31,Syed Aziz (MAS),52,52,8,1356,126,30.81,948,143.03,1,7,4,112,83,Syed Aziz,MAS
32,D Ndikubwimana (RWN),70,69,4,1350,82*,20.76,1527,88.4,0,8,5,136,23,D Ndikubwimana,RWN
33,MR Marsh (AUS),46,45,7,1335,103*,35.13,859,155.41,1,7,2,124,78,MR Marsh,AUS
34,SI Runsewe (NGA),66,66,8,1314,80,22.65,1174,111.92,0,8,2,146,17,SI Runsewe,NGA
35,Asif Ali (BHR),51,50,4,1291,100*,28.06,931,138.66,1,8,6,109,81,Asif Ali,BHR
36,PR Stirling (IRE),67,67,4,1289,77,20.46,990,130.2,0,5,5,147,52,PR Stirling,IRE
37,Fiaz Ahmed (BHR),41,41,10,1280,105*,41.29,996,128.51,1,7,3,92,69,Fiaz Ahmed,BHR
38,Q de Kock (SA),48,48,2,1268,115,27.56,823,154.07,2,8,7,124,68,Q de Kock,SA
39,SD Hope (WI),44,44,7,1253,102*,33.86,897,139.68,1,9,2,93,73,SD Hope,WI
40,Sahibzada Farhan (PAK),40,40,2,1245,100*,32.76,893,139.41,2,10,3,106,65,Sahibzada Farhan,PAK
41,Saim Ayub (PAK),60,60,3,1241,98*,21.77,912,136.07,0,6,8,129,57,Saim Ayub,PAK
42,Bilal Zalmai (AUT),41,41,5,1226,79*,34.05,773,158.6,0,11,2,126,70,Bilal Zalmai,AUT
43,Zubaidi Zulkifle (MAS),62,62,3,1218,96,20.64,833,146.21,0,4,11,127,58,Zubaidi Zulkifle,MAS
44,AR Patwa (TAN),47,47,5,1208,79,28.76,988,122.26,0,6,2,150,34,AR Patwa,TAN
45,A Balbirnie (IRE),51,51,1,1199,77,23.98,980,122.34,0,8,3,117,51,A Balbirnie,IRE
46,MP O'Dowd (NED),46,46,4,1193,92*,28.4,997,119.65,0,8,2,127,28,MP O'Dowd,NED
47,GA Priandana (INA),59,59,10,1186,78*,24.2,1083,109.51,0,6,5,116,40,GA Priandana,INA
48,I Liyanage (QAT),43,43,3,1179,86,29.47,947,124.49,0,9,4,124,34,I Liyanage,QAT
49,HG Munsey (SCOT),34,34,2,1166,132,36.43,832,140.14,1,7,1,118,50,HG Munsey,SCOT
50,Ishan Kishan (IND),39,39,0,1161,103,29.76,788,147.33,1,8,2,117,61,Ishan Kishan,IND
51,T Marumani (ZIM),56,56,3,1158,86,21.84,859,134.8,0,7,4,130,41,T Marumani,ZIM
52,DK Kesuma (INA),61,60,8,1144,117*,22,983,116.37,3,1,5,125,43,DK Kesuma,INA
53,DP Conway (NZ),43,43,6,1137,92*,30.72,918,123.85,0,8,3,107,33,DP Conway,NZ
54,Tanzid Hasan (BAN),45,45,5,1120,89,28,875,128,0,11,6,101,52,Tanzid Hasan,BAN
55,RG Mukasa (UGA),45,45,4,1078,89,26.29,836,128.94,0,5,8,126,33,RG Mukasa,UGA
56,Taranjeet Singh (ROM),35,35,3,1075,110,33.59,707,152.05,1,4,0,129,49,Taranjeet Singh,ROM
57,II Selemani (TAN),51,51,3,1065,71,22.18,751,141.81,0,4,5,120,56,II Selemani,TAN
58,RG Sharma (IND),39,39,4,1027,121*,29.34,709,144.85,1,6,5,99,55,RG Sharma,IND
59,TM Head (AUS),36,36,1,1016,91,29.02,607,167.38,0,6,2,130,50,TM Head,AUS
60,N Pooran (WI),35,34,3,1006,98,32.45,701,143.5,0,7,1,64,73,N Pooran,WI
61,K Motlhanka (BOT),44,43,4,996,75*,25.53,975,102.15,0,5,2,102,17,K Motlhanka,BOT
62,Faheem Nazir (SUI),26,26,4,977,113,44.4,671,145.6,2,7,1,111,29,Faheem Nazir,SUI
63,AP Yadav (THA),40,40,6,974,79*,28.64,920,105.86,0,5,2,101,18,AP Yadav,THA
64,V Kohli (IND),30,30,6,961,122*,40.04,716,134.21,1,9,4,79,33,V Kohli,IND
65,Zeeshan Ali (HKG),32,32,3,960,101,33.1,667,143.92,1,6,0,111,37,Zeeshan Ali,HKG
66,M Levitt (NED),29,29,1,945,135,33.75,669,141.25,1,6,1,82,50,M Levitt,NED
67,E Dusingizimana (RWN),53,52,3,935,66*,19.08,879,106.37,0,4,5,93,32,E Dusingizimana,RWN
68,LJ Tucker (IRE),41,41,5,924,94*,25.66,717,128.87,0,7,5,95,21,LJ Tucker,IRE
69,Babar Hayat (HKG),37,37,3,910,86,26.76,695,130.93,0,6,3,44,66,Babar Hayat,HKG
70,A Johnson (CAN),31,31,3,910,121*,32.5,618,147.24,2,6,5,85,60,A Johnson,CAN
71,CO Obuya (KENYA),30,30,5,908,96*,36.32,667,136.13,0,5,2,68,61,CO Obuya,KENYA
72,CV Anto (KUW),43,43,5,905,75,23.81,609,148.6,0,3,1,59,66,CV Anto,KUW
73,Razmal Shigiwal (AUT),36,36,5,890,95*,28.7,649,137.13,0,4,4,83,31,Razmal Shigiwal,AUT
74,SV Samson (IND),28,28,2,885,111,34.03,506,174.9,3,4,5,84,57,SV Samson,IND
75,O Manishimwe (RWN),43,43,3,873,89*,21.82,869,100.46,0,6,6,99,21,O Manishimwe,RWN
76,AK Markram (SA),36,36,4,871,86*,27.21,598,145.65,0,5,1,88,38,AK Markram,SA
77,Shubman Gill (IND),36,36,5,869,126*,28.03,627,138.59,1,3,2,98,26,Shubman Gill,IND
78,R Satheesan (ROM),30,29,2,867,99*,32.11,633,136.96,0,5,2,88,42,R Satheesan,ROM
79,Muhammad Muneeb (BEL),35,35,1,855,73,25.14,672,127.23,0,5,6,95,31,Muhammad Muneeb,BEL
80,Ahmed Faiz (MAS),31,30,5,845,105*,33.8,631,133.91,1,5,2,65,39,Ahmed Faiz,MAS
81,RN Patel (KENYA),39,39,6,839,75,25.42,691,121.41,0,3,3,85,21,RN Patel,KENYA
82,NA Greenwood (JER),28,28,3,831,86*,33.24,563,147.6,0,4,2,90,25,NA Greenwood,JER
83,HAM Shah (DEN),23,23,1,831,100,37.77,644,129.03,1,7,2,76,25,HAM Shah,DEN
84,G Mckeon (Fran),23,23,1,830,109,37.72,576,144.09,2,4,1,72,42,G Mckeon,Fran
85,Aqib Ilyas (OMA),30,30,2,829,90,29.6,652,127.14,0,7,3,69,34,Aqib Ilyas,OMA
86,V Aravind (UAE),29,29,4,829,97*,33.16,716,115.78,0,6,4,87,19,V Aravind,UAE
87,Najmul Hossain Shanto (BAN),36,36,3,828,71,25.09,742,111.59,0,4,0,77,19,Najmul Hossain Shanto,BAN
88,L Yamamoto-Lake (JPN),41,41,3,825,134*,21.71,626,131.78,1,4,6,83,33,L Yamamoto-Lake,JPN
89,SA Yadav (IND),32,31,4,823,111*,30.48,514,160.11,1,5,3,80,45,SA Yadav,IND
90,Jatinder Singh (OMA),44,44,2,821,69,19.54,667,123.08,0,5,2,96,22,Jatinder Singh,OMA
91,MD Patel (USA),27,26,1,820,104,32.8,565,145.13,1,7,1,86,27,MD Patel,USA
92,KH Prajapati (OMA),44,44,5,819,74*,21,754,108.62,0,6,5,82,24,KH Prajapati,OMA
93,Saqlain Arshad (QAT),39,39,1,814,76,21.42,653,124.65,0,4,4,106,21,Saqlain Arshad,QAT
94,J Charles (WI),34,34,0,801,118,23.55,586,136.68,1,1,4,78,47,J Charles,WI
95,Selim Salau (NGA),32,32,0,793,112,24.78,716,110.75,1,1,1,74,18,Selim Salau,NGA
96,J Baker (CAY),22,22,3,783,94,41.21,606,129.2,0,8,0,69,44,J Baker,CAY
97,H Lakov (BUL),25,25,5,781,78,39.05,664,117.62,0,4,0,68,13,H Lakov,BUL
98,Adil Butt (SWZ),23,23,1,770,88*,35,474,162.44,0,7,1,81,42,Adil Butt,SWZ
99,AGS Gous (USA),26,26,1,770,81,30.8,539,142.85,0,6,1,67,42,AGS Gous,USA
100,RK Paudel (NEP),34,34,3,769,58,24.8,647,118.85,0,3,1,62,22,RK Paudel,NEP
101,A Dizija (SRB),36,36,1,758,92,21.65,665,113.98,0,6,3,71,28,A Dizija,SRB
102,KR Mayers (WI),38,37,1,748,73,20.77,557,134.29,0,3,1,68,49,KR Mayers,WI
103,Mohammad Ihsan (ESP),18,18,3,747,160,49.8,419,178.28,3,1,0,63,52,Mohammad Ihsan,ESP
104,Azyan Farhath (MDV),28,28,6,738,66*,33.54,860,85.81,0,5,0,57,12,Azyan Farhath,MDV
105,SR Mukkamalla (USA),21,21,3,737,100*,40.94,494,149.19,1,6,0,72,31,SR Mukkamalla,USA
106,RD Rickelton (SA),28,28,3,726,77*,29.04,486,149.38,0,4,2,57,40,RD Rickelton,SA
107,S Davizi (CZK-R),23,23,3,725,115*,36.25,522,138.88,2,3,1,85,24,S Davizi,CZK-R
108,YBK Jaiswal (IND),22,22,2,723,100,36.15,440,164.31,1,5,2,82,38,YBK Jaiswal,IND
109,DA Warner (AUS),22,22,2,723,81,36.15,482,150,0,7,0,87,23,DA Warner,AUS
110,Zeeshan Khan (MLT),26,26,1,722,115,28.88,552,130.79,1,3,1,85,21,Zeeshan Khan,MLT
111,B McMullen (SCOT),25,24,3,699,96,33.28,471,148.4,0,7,2,58,36,B McMullen,SCOT
112,Imran Anwar (BHR),33,33,1,697,87,21.78,539,129.31,0,4,6,43,51,Imran Anwar,BHR
113,O Tuyisenge (RWN),42,42,2,694,66,17.35,667,104.04,0,3,8,73,19,O Tuyisenge,RWN
114,Walid Ghauri (NOR),21,21,2,682,100*,35.89,569,119.85,1,4,0,64,22,Walid Ghauri,NOR
115,N Nipiko (VAN),23,23,4,677,100,35.63,516,131.2,1,4,0,62,29,N Nipiko,VAN
116,JP Inglis (AUS),25,25,2,675,110,29.34,400,168.75,2,2,3,76,28,JP Inglis,AUS
117,Fakhar Zaman (PAK),28,28,1,671,84,24.85,536,125.18,0,4,3,66,21,Fakhar Zaman,PAK
118,L Bruce (GIBR),33,33,2,665,99*,21.45,620,107.25,0,6,5,76,13,L Bruce,GIBR
119,CR Ervine (ZIM),34,34,2,662,70,20.68,619,106.94,0,5,4,67,11,CR Ervine,ZIM
120,A Vala (PNG),29,29,4,661,93*,26.44,534,123.78,0,4,1,61,21,A Vala,PNG
121,V Balakrishnan (BOT),25,25,1,659,101,27.45,555,118.73,2,2,0,66,24,V Balakrishnan,BOT
122,D Kansonkho (MWI),42,42,5,656,41,17.72,714,91.87,0,0,1,63,12,D Kansonkho,MWI
123,NT Tilak Varma (IND),20,20,6,649,120*,46.35,427,151.99,2,3,3,57,35,NT Tilak Varma,IND
124,DJ Malan (ENG),23,23,1,648,82,29.45,522,124.13,0,5,2,66,21,DJ Malan,ENG
125,Hamza Khan (RWN),34,34,4,648,75,21.6,631,102.69,0,3,3,49,23,Hamza Khan,RWN
126,BA Pai (GIBR),24,24,5,647,86*,34.05,570,113.5,0,4,2,65,10,BA Pai,GIBR
127,MDKJ Perera (SL),26,26,2,645,101,26.87,465,138.7,1,4,5,71,17,MDKJ Perera,SL
128,SKS Gill (LUX),25,25,1,639,67*,26.62,631,101.26,0,3,2,56,9,SKS Gill,LUX
129,J Butler (GUE),27,27,3,634,87,26.41,550,115.27,0,2,1,56,20,J Butler,GUE
130,N Davin (NAM),21,21,3,634,89,35.22,480,132.08,0,5,0,70,19,N Davin,NAM
131,NS Dhaliwal (CAN),28,27,2,633,70*,25.32,523,121.03,0,4,2,56,24,NS Dhaliwal,CAN
132,T Manders (BER),23,23,4,629,82,33.1,478,131.58,0,6,3,59,28,T Manders,BER
133,HL Carlyon (JER),28,28,0,614,110,21.92,474,129.53,1,2,2,67,20,HL Carlyon,JER
134,W Madhevere (ZIM),34,34,2,613,73*,19.15,549,111.65,0,3,4,78,4,W Madhevere,ZIM
135,R Ravindra (NZ),30,29,4,613,69,24.52,436,140.59,0,4,1,48,28,R Ravindra,NZ
136,Aritra Dutta (SGP),29,29,1,596,122,21.28,437,136.38,1,2,2,63,30,Aritra Dutta,SGP
137,Anjar Tadarus (INA),48,46,5,592,59*,14.43,668,88.62,0,1,7,57,13,Anjar Tadarus,INA
138,Khizer Ahmed (NOR),28,28,2,592,64*,22.76,490,120.81,0,2,3,60,17,Khizer Ahmed,NOR
139,YS Samra (CAN),20,19,3,586,110,36.62,367,159.67,1,3,0,56,33,YS Samra,CAN
140,Sarfaraz Ali (BHR),37,37,2,586,69*,16.74,456,128.5,0,3,4,54,40,Sarfaraz Ali,BHR
