,Player_Name,Country,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
0,Mohammad Ihsan,ESP,160,0,63,5,17,253.96,1,Croatia,Cartagena,7 Dec 2025
1,YSD Seneveratne,CAY,150,1,67,7,13,223.88,1,Brazil,Buenos Aires,14 Dec 2024
2,Sahil Chauhan,EST,144,1,41,6,18,351.21,2,Cyprus,Episkopi,17 Jun 2024
3,PD Salt,ENG,141,1,60,15,8,235,1,South Africa,Manchester,12 Sep 2025
4,Kushal Malla,NEP,137,1,50,8,12,274,1,Mongolia,Hangzhou,27 Sep 2023
5,Zeeshan Kukikhel,HUN,137,0,49,7,15,279.59,2,Austria,Lower Austria,5 Jun 2022
6,FH Allen,NZ,137,0,62,5,16,220.96,1,Pakistan,Dunedin,17 Jan 2024
7,M Levitt,NED,135,0,62,11,10,217.74,1,Namibia,Kirtipur,29 Feb 2024
8,Abhishek Sharma,IND,135,0,54,7,13,250,1,England,Wankhede,2 Feb 2025
9,L Yamamoto-Lake,JPN,134,1,68,8,12,197.05,1,China,Mong Kok,15 Feb 2024
10,JN Frylinck,NAM,134,0,65,15,6,206.15,1,Nigeria,Harare,28 Sep 2025
11,Sikandar Raza,ZIM,133,1,43,7,15,309.3,1,Gambia,Nairobi (Ruaraka),23 Oct 2024
12,HG Munsey,SCOT,132,0,61,15,6,216.39,1,Austria,Edinburgh (Golden),25 Jul 2023
13,D Visser,Samoa,132,0,62,5,14,212.9,1,Vanuatu,Apia (No 2),20 Aug 2024
14,OJ Hairs,SCOT,127,1,53,14,8,239.62,1,Italy,Edinburgh,24 Jul 2023
15,Shubman Gill,IND,126,1,63,12,7,200,1,New Zealand,Ahmedabad,1 Feb 2023
16,Syed Aziz,MAS,126,0,56,13,9,225,1,Thailand,Hangzhou,2 Oct 2023
17,D Brevis,SA,125,1,56,12,8,223.21,1,Australia,Darwin,12 Aug 2025
18,RD Gaikwad,IND,123,1,57,13,7,215.78,1,Australia,Guwahati,28 Nov 2023
19,BRM Taylor,ZIM,123,0,54,16,5,227.77,1,Botswana,Harare,28 Sep 2025
20,V Kohli,IND,122,1,61,12,6,200,1,Afghanistan,Dubai (DICS),8 Sep 2022
21,A Donovan,PHI,122,1,54,11,7,225.92,1,South Korea,Bali,12 Jul 2025
22,Aritra Dutta,SGP,122,0,63,15,7,193.65,2,Japan,Bangkok,11 Feb 2024
23,A Johnson,CAN,121,1,59,6,11,205.08,1,Panama,Hamilton,3 Oct 2023
24,RG Sharma,IND,121,1,69,11,8,175.36,1,Afghanistan,Bengaluru,17 Jan 2024
25,GJ Maxwell,AUS,120,1,55,12,8,218.18,1,West Indies,Adelaide,11 Feb 2024
26,NT Tilak Varma,IND,120,1,47,9,10,255.31,1,South Africa,Johannesburg,15 Nov 2024
27,RR Patel,KENYA,120,0,55,12,8,218.18,1,Mozambique,Nairobi (Ruaraka),19 Oct 2024
28,Muhammad Fahad,TKY,120,0,34,10,12,352.94,1,Bulgaria,Sofia,12 Jul 2025
29,PD Salt,ENG,119,0,57,7,10,208.77,1,West Indies,Tarouba,19 Dec 2023
30,J Charles,WI,118,0,46,10,11,256.52,1,South Africa,Centurion,26 Mar 2023
31,Izaz Ali,SVN,118,0,45,7,13,262.22,2,Serbia,Belgrade,7 Jun 2025
32,DK Kesuma,INA,117,1,65,11,6,180,1,Myanmar,Bali,12 Nov 2024
