Player,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
Mohammad Ihsan,160,0,63,5,17,253.96,1,Croatia,Cartagena,2025-12-07
YSD Seneveratne,150,1,67,7,13,223.88,1,Brazil,Buenos Aires,2024-12-14
Sahil Chauhan,144,1,41,6,18,351.21,2,Cyprus,Episkopi,2024-06-17
PD Salt,141,1,60,15,8,235.0,1,South Africa,Manchester,2025-09-12
Kushal Malla,137,1,50,8,12,274.0,1,Mongolia,Hangzhou,2023-09-27
Zeeshan Kukikhel,137,0,49,7,15,279.59,2,Austria,Lower Austria,2022-06-05
FH Allen,137,0,62,5,16,220.96,1,Pakistan,Dunedin,2024-01-17
M Levitt,135,0,62,11,10,217.74,1,Namibia,Kirtipur,2024-02-29
Abhishek Sharma,135,0,54,7,13,250.0,1,England,Wankhede,2025-02-02
L Yamamoto-Lake,134,1,68,8,12,197.05,1,China,Mong Kok,2024-02-15
JN Frylinck,134,0,65,15,6,206.15,1,Nigeria,Harare,2025-09-28
Sikandar Raza,133,1,43,7,15,309.3,1,Gambia,Nairobi (Ruaraka),2024-10-23
HG Munsey,132,0,61,15,6,216.39,1,Austria,Edinburgh (Golden),2023-07-25
D Visser,132,0,62,5,14,212.9,1,Vanuatu,Apia (No 2),2024-08-20
OJ Hairs,127,1,53,14,8,239.62,1,Italy,Edinburgh,2023-07-24
Shubman Gill,126,1,63,12,7,200.0,1,New Zealand,Ahmedabad,2023-02-01
Syed Aziz,126,0,56,13,9,225.0,1,Thailand,Hangzhou,2023-10-02
D Brevis,125,1,56,12,8,223.21,1,Australia,Darwin,2025-08-12
RD Gaikwad,123,1,57,13,7,215.78,1,Australia,Guwahati,2023-11-28
BRM Taylor,123,0,54,16,5,227.77,1,Botswana,Harare,2025-09-28
V Kohli,122,1,61,12,6,200.0,1,Afghanistan,Dubai (DICS),2022-09-08
A Donovan,122,1,54,11,7,225.92,1,South Korea,Bali,2025-07-12
Aritra Dutta,122,0,63,15,7,193.65,2,Japan,Bangkok,2024-02-11
A Johnson,121,1,59,6,11,205.08,1,Panama,Hamilton,2023-10-03
