,Player_Name,Country,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
0,S Yeshey,BHU,4.0,1,7,8,1.75,2,Myanmar,Gelephu,26 Dec 2025
1,Syazrul Idrus,MAS,4.0,1,8,7,2,1,China,Kuala Lumpur,26 Jul 2023
2,Ali Dawood,BHR,4.0,0,19,7,4.75,2,Bhutan,Gelephu,11 Dec 2025
3,H Bharadwaj,SGP,4.0,2,3,6,0.75,1,Mongolia,Bangi,5 Sep 2024
4,MA Baig,MWI,4.0,0,9,6,2.25,2,Rwanda,Benoni,16 Dec 2023
5,Rizwan Butt,BHR,3.5,1,9,6,2.34,1,Malawi,Blantyre,12 Jul 2025
6,JJ Smit,NAM,4.0,1,10,6,2.5,2,Uganda,Windhoek,10 Apr 2022
7,Mustafizur Rahman,BAN,4.0,1,10,6,2.5,1,U.S.A.,Prairie View,25 May 2024
8,A Bohara,NEP,3.4,0,11,6,3,2,Maldives,Hangzhou,1 Oct 2023
9,Nasrulla Rana,HKG,4.0,1,12,6,3,2,P.N.G.,Kuala Lumpur,24 Sep 2023
10,PS Bais,Mex,4.0,0,14,6,3.5,2,Costa Rica,Guacima,14 Apr 2024
11,W Nalisa,VAN,4.0,0,16,6,4,2,Fiji,Apia (No 2),19 Aug 2024
12,ML Castillo,Blz,4.0,0,16,6,4,1,Panama,Buenos Aires,14 Dec 2024
13,OC McCoy,WI,4.0,1,17,6,4.25,1,India,Basseterre,1 Aug 2022
14,PK Langat,KENYA,4.0,1,17,6,4.25,1,Mali,Kigali,20 Nov 2022
15,Waseem Yaqoob,LES,4.0,1,18,6,4.5,2,Mali,Dar-es-Salaam,25 Sep 2024
16,Dawood Ahmadzai,Fran,4.0,0,21,6,5.25,2,Malta,Dreux,9 May 2024
17,R Abdulkareem,NGA,4.0,0,22,6,5.5,2,Botswana,Abuja,28 Nov 2024
18,R Sakurano-Thomas,JPN,3.5,0,26,6,6.78,2,Thailand,Bangkok,2 Feb 2024
19,Yasir Ali,ESP,4.0,0,28,6,7,1,Croatia,Zagreb,2 Aug 2024
20,GA Priandana,INA,1.0,0,1,5,1,2,Cambodia,Bali,23 Dec 2025
21,YM Nkanya,TAN,4.0,2,2,5,0.5,2,Cameroon,Kigali,9 Dec 2022
22,L Rossi,Arg,4.0,1,3,5,0.75,1,Chile,Buenos Aires,20 Oct 2023
23,Sufiyan Muqeem,PAK,2.4,0,3,5,1.12,1,Zimbabwe,Bulawayo,3 Dec 2024
24,B Kumar,IND,4.0,1,4,5,1,2,Afghanistan,Dubai (DICS),8 Sep 2022
25,MA Baig,MWI,1.5,0,4,5,2.18,1,Cameroon,Dar-es-Salaam,25 Sep 2024
26,Junaid Aziz,BHR,1.4,0,5,5,3,1,Germany,Al Amerat,18 Feb 2022
27,Zain Ul Abidin,KSA,3.0,1,6,5,2,2,Bhutan,Bangkok,15 Feb 2024
28,C Hinze,JPN,4.0,1,6,5,1.5,2,Mongolia,Sano,11 May 2024
29,K Kato-Stafford,JPN,3.2,0,7,5,2.1,2,Mongolia,Sano,8 May 2024
30,C Rumistrzewicz,ESP,2.5,1,7,5,2.47,1,Croatia,Zagreb,3 Aug 2024
31,GM Mwendwa,KENYA,4.0,1,7,5,1.75,2,Gambia,Nairobi (Gym),22 Oct 2024
32,M Shahbaz Butt,NOR,4.0,1,8,5,2,2,Czech Rep.,Vantaa,25 Jul 2022
33,H Ssenyondo,UGA,4.0,2,8,5,2,1,Nigeria,Rwanda,8 Dec 2024
34,Anjar Tadarus,INA,4.0,0,8,5,2,1,South Korea,Bali,9 Jul 2025
35,Muhammad Saqlain,HUN,3.1,0,8,5,2.52,2,Luxembourg,Szodliget,25 Jul 2025
36,S Lamichhane,NEP,4.0,0,9,5,2.25,1,Kenya,Nairobi (Gym),29 Aug 2022
37,SA Okpe,NGA,4.0,1,9,5,2.25,1,Cameroon,Rwanda,5 Dec 2022
38,Mohammad Kamran,ESP,4.0,0,9,5,2.25,1,Isle of Man,Cartagena,25 Feb 2023
39,KV Morea,PNG,4.0,0,9,5,2.25,2,Philippines,Port Moresby,23 Jul 2023
40,Ma Qiancheng,CHN,4.0,0,9,5,2.25,2,Myanmar,Bangkok,30 Jan 2024
41,Fazalhaq Farooqi,AFG,4.0,0,9,5,2.25,2,Uganda,Providence,3 Jun 2024
42,Waji Ul Hassan,KSA,3.0,0,9,5,3,2,Thailand,Kuala Lumpur,28 Apr 2025
43,SM Curran,ENG,3.4,0,10,5,2.72,1,Afghanistan,Perth,22 Oct 2022
44,A Yon,STHEL,3.0,0,10,5,3.33,2,Lesotho,Kigali,22 Nov 2022
45,KDA Lukies,PHI,4.0,1,10,5,2.5,2,Vanuatu,Port Moresby,29 Jul 2023
46,SA Jumbe,TAN,3.3,0,10,5,2.85,2,Nigeria,Accra,17 Mar 2024
47,J Coetzee,THA,3.0,0,10,5,3.33,1,Indonesia,Gelephu,20 Oct 2024
48,L Bonner,Blz,3.5,0,10,5,2.6,1,Brazil,Buenos Aires,15 Dec 2024
49,LA Burns,ESP,4.0,0,11,5,2.75,1,Guernsey,Almeria,30 Apr 2022
50,D Jakiel,MWI,4.0,0,11,5,2.75,2,Lesotho,Kigali,25 Nov 2022
51,Waqas Ahmad,MLT,3.3,0,11,5,3.14,1,France,Marsa,16 Jul 2023
52,AJ Hosein,WI,4.0,0,11,5,2.75,2,Uganda,Providence,8 Jun 2024
53,E Rukiriza,RWN,4.0,0,11,5,2.75,1,Malawi,Blantyre,9 Oct 2024
54,SN Netravalkar,USA,4.0,1,12,5,3,2,Singapore,Bulawayo,12 Jul 2022
55,SM Warnakulasuriya,Fran,4.0,1,12,5,3,2,Luxembourg,Marsa,11 Jul 2023
56,Rizwan Butt,BHR,4.0,0,12,5,3,2,Tanzania,Kuala Lumpur,9 Mar 2024
57,SJ Hughes-Pinan,ESP,3.2,1,12,5,3.6,2,Croatia,Zagreb,4 Aug 2024
58,GE Ngegba,SLE,3.4,0,12,5,3.27,2,Ivory Coast,Abuja,23 Nov 2024
59,Shoaib Rafiq,Mex,4.0,1,12,5,3,2,Brazil,Buenos Aires,7 Dec 2024
60,M Koli,ROM,3.5,0,12,5,3.13,1,Hungary,Szodliget,25 Jul 2025
61,Sahel Zadran,AUT,3.1,1,13,5,4.1,2,Slovenia,Kerava,25 Jul 2022
62,BJ Currie,SCOT,4.0,1,13,5,3.25,2,Ireland,Edinburgh,28 Jul 2023
63,S di Bartolomeo,ITA,4.0,0,14,5,3.5,1,Germany,Edinburgh,28 Jul 2023
64,H Fennell,Arg,4.0,0,14,5,3.5,1,Cayman,Buenos Aires,15 Dec 2024
65,S Wickramasekara,CZK-R,3.1,1,15,5,4.73,1,Bulgaria,Vantaa,31 Jul 2022
66,Ali Sheikh,USA,3.0,0,15,5,5,1,Bermuda,George Town,21 Apr 2025
67,E Rukiriza,RWN,4.0,0,15,5,3.75,2,Sierra Leone,Abuja,8 Dec 2025
68,Rizwan Butt,BHR,3.5,0,16,5,4.17,1,Singapore,Bangi,21 Dec 2022
69,P Mishra,BUL,3.4,0,16,5,4.36,1,Croatia,Sofia,23 Jun 2023
70,Muhammad Amir,MAS,3.0,0,16,5,5.33,2,Singapore,Kirtipur,2 Nov 2023
71,S Bodha,GIBR,4.0,0,16,5,4,1,Romania,Ilfov County,25 May 2024
72,Milind Kumar,USA,4.0,0,16,5,4,1,Namibia,Windhoek,5 Oct 2024
73,Yasar Haroon,BRA,4.0,0,16,5,4,1,Panama,Buenos Aires,12 Dec 2024
74,Zaker Taqawi,SWE,4.0,0,17,5,4.25,1,Croatia,Kerava,13 Jul 2022
75,R Sakurano-Thomas,JPN,4.0,0,17,5,4.25,2,Indonesia,Sano,9 Oct 2022
76,Siraj Ullah Khadem,POR,3.3,1,17,5,4.85,2,Malta,Gibraltar,4 May 2023
77,Kuldeep Yadav,IND,2.5,0,17,5,6,2,South Africa,Johannesburg,14 Dec 2023
78,OE Taylor,COK,4.0,1,17,5,4.25,1,Vanuatu,Apia (No 2),21 Aug 2024
79,CV Varun,IND,4.0,0,17,5,4.25,2,South Africa,Gqeberha,10 Nov 2024
80,AR Ramjani,UGA,4.0,0,17,5,4.25,1,Nigeria,Rwanda,6 Dec 2024
81,V Saini,ROM,3.5,0,17,5,4.43,2,Luxembourg,Szodliget,26 Jul 2025
82,Waqar Zalmai,AUT,2.3,0,17,5,6.8,1,Belgium,Latschach,24 Aug 2025
83,D Maisuria,BOT,4.0,0,18,5,4.5,2,Ghana,Benoni,18 Sep 2022
84,S Shrivastava,OMA,4.0,0,18,5,4.5,2,Bahrain,Al Amerat,19 Nov 2022
85,K Hinds,BHM,4.0,0,18,5,4.5,1,Cayman,Buenos Aires,28 Feb 2023
86,C Rumistrzewicz,ESP,4.0,0,18,5,4.5,2,Finland,Castel,28 Aug 2024
87,Sikandar Raza,ZIM,4.0,1,18,5,4.5,2,Rwanda,Nairobi (Ruaraka),22 Oct 2024
88,S Lamichhane,NEP,3.5,0,18,5,4.69,2,Qatar,Al Amerat,13 Oct 2025
89,Mohammad Nawaz,3,4.0,0,18,5,4.5,2,Australia,Lahore,1 Feb 2026
90,Ahmed Raza,UAE,4.0,0,19,5,4.75,2,Nepal,Al Amerat,22 Feb 2022
91,FJ Klaassen,NED,4.0,0,19,5,4.75,2,Uganda,Bulawayo,14 Jul 2022
92,T Ritawa,COK,4.0,0,19,5,4.75,1,Fiji,Port vila,14 Sep 2022
93,DL Brangman,BER,4.0,0,19,5,4.75,2,Cayman,Hamilton,3 Oct 2023
94,Fayaz Khan,GER,4.0,0,19,5,4.75,1,Norway,Krefeld,11 Jul 2024
95,MB Tambe,FIN,2.0,0,19,5,9.5,1,Estonia,Tallinn,27 Jul 2025
96,Mohammad Nawaz,3,4.0,1,19,5,4.75,2,Afghanistan,Sharjah,7 Sep 2025
97,Mosaddek Hossain,BAN,4.0,0,20,5,5,1,Zimbabwe,Harare,31 Jul 2022
98,N Thushara,SL,4.0,1,20,5,5,2,Bangladesh,Sylhet,9 Mar 2024
99,LN Oluoch,KENYA,4.0,0,20,5,5,1,Uganda,Accra,17 Mar 2024
100,Rizwan Butt,BHR,4.0,0,20,5,5,2,Cambodia,Doha,26 Nov 2024
101,P Nedeljkovic,SRB,4.0,0,20,5,5,1,Hungary,Szodliget,30 Aug 2025
102,R Shepherd,WI,3.0,0,20,5,6.66,2,Scotland,Eden Gardens,7 Feb 2026
103,D Suzuki,JPN,4.0,0,20,5,5,2,Bhutan,Bangkok,27 Feb 2026
104,Karan KC,NEP,3.4,0,21,5,5.72,2,P.N.G.,Kirtipur,31 Mar 2022
105,Saud Munir,DEN,4.0,0,21,5,5.25,1,Norway,Brondby,18 May 2023
106,AN Lascu,ROM,4.0,0,21,5,5.25,1,Portugal,Spinaceto,10 Jun 2024
107,R Kalimuthu,SGP,4.0,0,21,5,5.25,1,Kuwait,Bangi,6 Sep 2024
108,H Venkataram,SGP,4.0,1,21,5,5.25,2,Samoa,Singapore,18 Jul 2025
109,Zuhaib Zubair,UAE,3.3,0,21,5,6,1,Nigeria,Entebbe,21 Jul 2025
110,Shakib Al Hasan,BAN,4.0,0,22,5,5.5,2,Ireland,Chattogram,29 Mar 2023
111,S Ravichandran,JPN,4.0,0,22,5,5.5,1,Hong Kong,Mong Kok,15 Feb 2024
112,MW Short,AUS,3.0,0,22,5,7.33,2,England,Cardiff,13 Sep 2024
113,JDS Neesham,NZ,4.0,0,22,5,5.5,1,Pakistan,Wellington,26 Mar 2025
114,Rameez Khan,ROM,4.0,0,22,5,5.5,2,Czech Rep.,Ilfov County,22 Aug 2025
