Player,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
S Yeshey,4.0,1,7,8,1.75,2,Myanmar,Gelephu,26 Dec 2025
Syazrul Idrus,4.0,1,8,7,2,1,China,Kuala Lumpur,26 Jul 2023
Ali Dawood,4.0,0,19,7,4.75,2,Bhutan,Gelephu,11 Dec 2025
H Bharadwaj,4.0,2,3,6,0.75,1,Mongolia,Bangi,5 Sep 2024
MA Baig,4.0,0,9,6,2.25,2,Rwanda,Benoni,16 Dec 2023
Rizwan Butt,3.5,1,9,6,2.34,1,Malawi,Blantyre,12 Jul 2025
JJ Smit,4.0,1,10,6,2.5,2,Uganda,Windhoek,10 Apr 2022
Mustafizur Rahman,4.0,1,10,6,2.5,1,U.S.A.,Prairie View,25 May 2024
A Bohara,3.4,0,11,6,3,2,Maldives,Hangzhou,1 Oct 2023
Nasrulla Rana,4.0,1,12,6,3,2,P.N.G.,Kuala Lumpur,24 Sep 2023
PS Bais,4.0,0,14,6,3.5,2,Costa Rica,Guacima,14 Apr 2024
W Nalisa,4.0,0,16,6,4,2,Fiji,Apia (No 2),19 Aug 2024
ML Castillo,4.0,0,16,6,4,1,Panama,Buenos Aires,14 Dec 2024
OC McCoy,4.0,1,17,6,4.25,1,India,Basseterre,1 Aug 2022
PK Langat,4.0,1,17,6,4.25,1,Mali,Kigali,20 Nov 2022
Waseem Yaqoob,4.0,1,18,6,4.5,2,Mali,Dar-es-Salaam,25 Sep 2024
Dawood Ahmadzai,4.0,0,21,6,5.25,2,Malta,Dreux,9 May 2024
R Abdulkareem,4.0,0,22,6,5.5,2,Botswana,Abuja,28 Nov 2024
R Sakurano-Thomas,3.5,0,26,6,6.78,2,Thailand,Bangkok,2 Feb 2024
Yasir Ali,4.0,0,28,6,7,1,Croatia,Zagreb,2 Aug 2024
GA Priandana,1.0,0,1,5,1,2,Cambodia,Bali,23 Dec 2025
YM Nkanya,4.0,2,2,5,0.5,2,Cameroon,Kigali,9 Dec 2022
L Rossi,4.0,1,3,5,0.75,1,Chile,Buenos Aires,20 Oct 2023
Sufiyan Muqeem,2.4,0,3,5,1.12,1,Zimbabwe,Bulawayo,3 Dec 2024
B Kumar,4.0,1,4,5,1,2,Afghanistan,Dubai (DICS),8 Sep 2022
MA Baig,1.5,0,4,5,2.18,1,Cameroon,Dar-es-Salaam,25 Sep 2024
Junaid Aziz,1.4,0,5,5,3,1,Germany,Al Amerat,18 Feb 2022
Zain Ul Abidin,3.0,1,6,5,2,2,Bhutan,Bangkok,15 Feb 2024
C Hinze,4.0,1,6,5,1.5,2,Mongolia,Sano,11 May 2024
K Kato-Stafford,3.2,0,7,5,2.1,2,Mongolia,Sano,8 May 2024
C Rumistrzewicz,2.5,1,7,5,2.47,1,Croatia,Zagreb,3 Aug 2024
GM Mwendwa,4.0,1,7,5,1.75,2,Gambia,Nairobi (Gym),22 Oct 2024
M Shahbaz Butt,4.0,1,8,5,2,2,Czech Rep.,Vantaa,25 Jul 2022
H Ssenyondo,4.0,2,8,5,2,1,Nigeria,Rwanda,8 Dec 2024
Anjar Tadarus,4.0,0,8,5,2,1,South Korea,Bali,9 Jul 2025
