match_id,season,start_date,venue,gender,match_type,team_type,teams,city,innings,batting_team,bowling_team,over,ball,batter,bowler,non_striker,runs_off_bat,extras,total_runs,is_wicket,player_out,wicket_type,wides,noballs,byes,legbyes,penalty
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,2,4,AJ Finch,JRMVB Sanjaya,M Klinger,0,0,0,1,AJ Finch,caught and bowled,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,6,4,BR Dunk,DAS Gunaratne,M Klinger,0,0,0,1,BR Dunk,bowled,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,13,2,M Klinger,JRMVB Sanjaya,MC Henriques,0,0,0,1,M Klinger,caught,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,14,2,TM Head,KMDN Kulasekara,MC Henriques,0,0,0,1,TM Head,caught,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,15,6,AJ Turner,S Prasanna,MC Henriques,0,0,0,1,AJ Turner,caught,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,16,6,JP Faulkner,SL Malinga,MC Henriques,0,0,0,1,JP Faulkner,lbw,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,18,3,TD Paine,SL Malinga,MC Henriques,0,0,0,1,TD Paine,lbw,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,19,3,PJ Cummins,KMDN Kulasekara,MC Henriques,0,0,0,1,PJ Cummins,bowled,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,19,5,AJ Tye,KMDN Kulasekara,MC Henriques,0,0,0,1,AJ Tye,lbw,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,1,Australia,Sri Lanka,19,6,JA Richardson,KMDN Kulasekara,MC Henriques,0,0,0,1,JA Richardson,bowled,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,2,Sri Lanka,Australia,0,5,WU Tharanga,AJ Turner,N Dickwella,0,0,0,1,WU Tharanga,caught,0,0,0,0,0
1001351,2016/17,2017-02-19,"Simonds Stadium, South Geelong",male,T20,international,Australia vs Sri Lanka,Victoria,2,Sri Lanka,Australia,2,2,N Dickwella,JP Faulkner,EMDY Munaweera,0,0,0,1,N Dickwella,caught,0,0,0,0,0
